BenchName;C++;Mono;plain-C;Vala
mandelbrot;4402;1279;2225;2577
partialSums;2962;1415;5783;6217
recursive;6334;1400;5563;5987
binaryTrees;5540;1466;4548;5789
sumFile;2601;1092;1848;3815
fannkuch;5910;1376;4121;4734
spectralNorm;6256;1415;3903;3466
nsieve;2650;1170;1969;1993
nBody;6051;2213;3670;4988
